onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.825	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/4b_story.txt	1
25.796	3.254	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/4b_question.txt	1
44.336	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/4p_story.txt	2
55.307	5.408	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/4p_question.txt	2
73.831	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/1p_story.txt	3
84.818	5.851	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/1p_question.txt	3
103.342	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/1b_story.txt	4
114.329	5.037	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/1b_question.txt	4
132.853	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/6p_story.txt	5
143.84	3.739	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/6p_question.txt	5
162.38	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/6b_story.txt	6
173.351	5.629	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/6b_question.txt	6
191.875	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/3p_story.txt	7
202.879	2.949	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/3p_question.txt	7
221.402	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/3b_story.txt	8
232.39	3.569	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/3b_question.txt	8
250.913	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/8b_story.txt	9
261.901	3.559	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/8b_question.txt	9
280.424	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/8p_story.txt	10
291.412	4.055	tomsaxe	response	falsephoto	incorrect	task-fractional/runtype-tomsaxe/8p_question.txt	10
309.935	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/7p_story.txt	11
320.923	2.277	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/7p_question.txt	11
339.463	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/7b_story.txt	12
350.434	3.709	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/7b_question.txt	12
368.957	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/10p_story.txt	13
379.945	4.121	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/10p_question.txt	13
398.468	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/10b_story.txt	14
409.456	4.889	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/10b_question.txt	14
427.996	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/9b_story.txt	15
438.967	5.431	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/9b_question.txt	15
457.49	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/9p_story.txt	16
468.478	5.502	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/9p_question.txt	16
487.001	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/5p_story.txt	17
497.989	2.332	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/5p_question.txt	17
516.529	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/5b_story.txt	18
527.5	4.841	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/5b_question.txt	18
546.023	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/2p_story.txt	19
557.011	4.693	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/2p_question.txt	19
575.534	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/2b_story.txt	20
586.522	6.287	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/2b_question.txt	20
