onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.8	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.771	2.512	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	1
44.294	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.282	4.227	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	2
73.805	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	3
84.793	4.472	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	3
103.316	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	4
114.304	3.494	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/6b_question.txt	4
132.827	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	5
143.815	3.766	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/9p_question.txt	5
162.355	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	6
173.342	3.946	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	6
191.866	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	7
202.853	3.802	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	7
221.377	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	8
232.364	3.022	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	8
250.888	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	9
261.875	3.349	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/4b_question.txt	9
280.399	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	10
291.386	1.051	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	10
309.91	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	11
320.897	1.943	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	11
339.438	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	12
350.408	2.512	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/1b_question.txt	12
368.932	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	13
379.919	2.928	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	13
398.443	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	14
409.431	2.418	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	14
427.971	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.958	1.306	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	15
457.482	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.469	2.596	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/7p_question.txt	16
486.993	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	17
497.98	4.035	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/3p_question.txt	17
516.52	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	18
527.491	3.938	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/3b_question.txt	18
546.015	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.002	0.891	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.526	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.513	0.984	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
