onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.826	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.796	3.33	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	1
44.337	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.324	3.155	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/5p_question.txt	2
73.864	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	3
84.835	3.151	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	3
103.375	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	4
114.346	3.303	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/2b_question.txt	4
132.87	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.857	3.343	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.397	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.385	3.128	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.908	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	7
202.896	3.582	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	7
221.419	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	8
232.407	4.767	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/9b_question.txt	8
250.947	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	9
261.918	3.882	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	9
280.441	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	10
291.429	3.045	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	10
309.952	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	11
320.94	3.302	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	11
339.463	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	12
350.451	3.09	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/10b_question.txt	12
368.974	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	13
379.978	4.057	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	13
398.502	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	14
409.489	4.867	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/3b_question.txt	14
428.013	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
439.0	n/a	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	15
457.524	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.511	2.866	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.035	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
498.022	5.235	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.546	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.533	3.641	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	18
546.057	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	19
557.044	3.636	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	19
575.568	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	20
586.555	3.857	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/4b_question.txt	20
