onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.798	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	1
25.769	4.206	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	1
44.309	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	2
55.28	5.176	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	2
73.804	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	3
84.791	3.81	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	3
103.331	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	4
114.319	6.492	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/4b_question.txt	4
133.376	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
144.346	4.991	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.87	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.874	3.292	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
192.398	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
203.385	2.786	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	7
221.909	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
232.896	3.33	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
251.42	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	9
262.407	2.954	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	9
280.931	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	10
291.918	2.729	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	10
310.442	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	11
321.429	4.313	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	11
339.953	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	12
350.94	3.653	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	12
369.464	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	13
380.451	3.04	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	13
398.975	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	14
409.962	3.393	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	14
428.486	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
439.473	3.975	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.997	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.984	2.326	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.508	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
498.495	2.458	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
517.019	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
528.006	4.999	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/8b_question.txt	18
546.53	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	19
557.517	1.916	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	19
576.041	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	20
587.028	3.087	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	20
