onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.813	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	1
25.784	2.789	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	1
44.307	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	2
55.295	3.658	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	2
73.818	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	3
84.806	4.262	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	3
103.329	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	4
114.317	3.275	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	4
132.84	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.828	4.853	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.352	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.339	2.721	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.863	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
202.85	3.307	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	7
221.374	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
232.361	3.642	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
250.885	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	9
261.872	2.419	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	9
280.396	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	10
291.383	2.377	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	10
309.907	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	11
320.894	2.449	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	11
339.434	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	12
350.422	3.511	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	12
368.945	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	13
379.933	3.691	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	13
398.457	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	14
409.444	2.889	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	14
427.968	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.955	5.747	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.479	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.466	1.483	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
486.99	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
497.977	2.088	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.501	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.488	4.009	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	18
546.012	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	19
556.999	2.376	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	19
575.523	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	20
586.51	2.287	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	20
