onset	duration	run_type	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	pain_onset_ttl1	pain_onset_ttl2	pain_onset_ttl3	pain_onset_ttl4	pain_stimulus_delivery_success	cognitive_correct_response	cognitive_participant_response	cognitive_response_accuracy
10.98	1.0	pain	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l032.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.3	3.07	pain	expectrating	1	low_cue	n/a	87.93	Very Strong	87.93	Very Strong	0.97	2.1	task-social/cue/runtype-pain/scl/l032.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.51	12.359999999999996	pain	stimulus	1	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	30.51	34.27	39.27	42.88	success	n/a	n/a	n/a
45.29	2.33	pain	outcomerating	1	low_cue	med_stim	97.13	Very Strong	97.13	Very Strong	0.97	2.1	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
51.48	1.0	pain	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l044.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
53.7	2.97	pain	expectrating	2	low_cue	n/a	98.29	Strongest sensation of any kind	98.29	Strongest sensation of any kind	1.03	1.93	task-social/cue/runtype-pain/scl/l044.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60.41	12.820000000000007	pain	stimulus	2	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	60.41	64.42	69.42	73.23	success	n/a	n/a	n/a
75.19	2.16	pain	outcomerating	2	low_cue	high_stim	92.76	Very Strong	92.76	Very Strong	1.03	1.93	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
82.99	0.98	pain	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h001.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.79	3.52	pain	expectrating	3	high_cue	n/a	130.93	Strongest sensation of any kind	130.93	Strongest sensation of any kind	0.7	2.82	task-social/cue/runtype-pain/sch/h001.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
90.51	11.899999999999991	pain	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	90.51	94.01	99.01	102.41	success	n/a	n/a	n/a
100.38	2.68	pain	outcomerating	3	high_cue	low_stim	72.73	Very Strong	72.73	Very Strong	0.7	2.82	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
117.19	1.0	pain	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h036.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
119.29	2.26	pain	expectrating	4	high_cue	n/a	112.44	Strongest sensation of any kind	112.44	Strongest sensation of any kind	0.65	1.61	task-social/cue/runtype-pain/sch/h036.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
130.83	12.359999999999985	pain	stimulus	4	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	130.83	134.59	139.59	143.2	success	n/a	n/a	n/a
145.6	2.42	pain	outcomerating	4	high_cue	med_stim	82.13	Very Strong	82.13	Very Strong	0.65	1.61	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
150.48	1.0	pain	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h031.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
152.68	2.69	pain	expectrating	5	high_cue	n/a	107.05	Strongest sensation of any kind	107.05	Strongest sensation of any kind	1.03	1.66	task-social/cue/runtype-pain/sch/h031.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
168.91	12.819999999999993	pain	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	168.91	172.92	177.92	181.73	success	n/a	n/a	n/a
179.59	2.77	pain	outcomerating	5	high_cue	high_stim	103.98	Strongest sensation of any kind	103.98	Strongest sensation of any kind	1.03	1.66	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
185.08	1.0	pain	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l053.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.08	2.73	pain	expectrating	6	low_cue	n/a	91.62	Very Strong	91.62	Very Strong	1.17	1.57	task-social/cue/runtype-pain/scl/l053.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
193.62	12.819999999999993	pain	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	193.62	197.63	202.63	206.44	success	n/a	n/a	n/a
204.29	2.34	pain	outcomerating	6	low_cue	high_stim	115.13	Strongest sensation of any kind	115.13	Strongest sensation of any kind	1.17	1.57	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
213.19	1.0	pain	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l026.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
216.49	2.6	pain	expectrating	7	low_cue	n/a	96.44	Very Strong	96.44	Very Strong	0.97	1.64	task-social/cue/runtype-pain/scl/l026.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
223.0	11.909999999999997	pain	stimulus	7	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	223.0	226.5	231.5	234.9	success	n/a	n/a	n/a
238.08	2.5	pain	outcomerating	7	low_cue	low_stim	104.2	Strongest sensation of any kind	104.2	Strongest sensation of any kind	0.97	1.64	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
244.29	1.0	pain	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h003.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
247.29	2.94	pain	expectrating	8	high_cue	n/a	105.6	Strongest sensation of any kind	105.6	Strongest sensation of any kind	0.75	2.19	task-social/cue/runtype-pain/sch/h003.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
252.02	12.819999999999965	pain	stimulus	8	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	252.02	256.03	261.03	264.84	success	n/a	n/a	n/a
262.99	2.37	pain	outcomerating	8	high_cue	high_stim	130.6	Strongest sensation of any kind	130.6	Strongest sensation of any kind	0.75	2.19	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
270.38	1.0	pain	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h016.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
272.4	3.72	pain	expectrating	9	high_cue	n/a	113.26	Strongest sensation of any kind	113.26	Strongest sensation of any kind	2.2	1.52	task-social/cue/runtype-pain/sch/h016.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
279.73	11.899999999999977	pain	stimulus	9	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	279.73	283.23	288.23	291.63	success	n/a	n/a	n/a
298.59	2.36	pain	outcomerating	9	high_cue	low_stim	109.89	Strongest sensation of any kind	109.89	Strongest sensation of any kind	2.2	1.52	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
304.09	1.0	pain	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l005.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
306.29	2.45	pain	expectrating	10	low_cue	n/a	102.27	Strongest sensation of any kind	102.27	Strongest sensation of any kind	0.73	1.72	task-social/cue/runtype-pain/scl/l005.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
311.62	12.360000000000014	pain	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	311.62	315.38	320.38	323.99	success	n/a	n/a	n/a
329.78	2.68	pain	outcomerating	10	low_cue	med_stim	105.15	Strongest sensation of any kind	105.15	Strongest sensation of any kind	0.73	1.72	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
338.09	1.0	pain	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l030.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
340.29	2.52	pain	expectrating	11	low_cue	n/a	98.29	Strongest sensation of any kind	98.29	Strongest sensation of any kind	0.83	1.69	task-social/cue/runtype-pain/scl/l030.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
350.2	11.900000000000034	pain	stimulus	11	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	350.2	353.7	358.7	362.1	success	n/a	n/a	n/a
363.9	n/a	pain	outcomerating	11	low_cue	low_stim	n/a	n/a	87.23	Very Strong	0.83	1.69	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
376.08	1.0	pain	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h024.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
378.89	2.94	pain	expectrating	12	high_cue	n/a	108.22	Strongest sensation of any kind	108.22	Strongest sensation of any kind	0.52	2.43	task-social/cue/runtype-pain/sch/h024.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
