onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.825	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	1
25.796	2.926	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/2b_question.txt	1
44.32	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	2
55.307	3.921	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	2
73.831	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	3
84.818	2.616	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	3
103.342	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	4
114.329	3.088	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	4
132.853	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.84	3.912	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.364	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.351	2.336	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.875	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
202.879	2.657	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	7
221.402	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
232.39	2.613	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
250.913	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	9
261.901	2.353	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	9
280.424	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	10
291.412	3.269	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	10
309.935	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	11
320.923	2.578	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	11
339.446	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	12
350.434	3.182	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	12
368.957	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	13
379.945	3.427	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	13
398.468	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	14
409.456	3.786	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	14
427.979	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.967	3.841	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	15
457.49	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.478	2.362	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.001	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
497.989	2.22	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.512	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.5	3.098	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	18
546.04	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	19
557.011	1.915	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	19
575.534	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	20
586.522	2.913	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	20
