onset	duration	run_type	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file_TODO	pain_onset_ttl1	pain_onset_ttl2	pain_onset_ttl3	pain_onset_ttl4	pain_stimulus_delivery_success	cognitive_correct_response	cognitive_participant_response	cognitive_response_accuracy
10.11	1.0	pain	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h037.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.41	1.38	pain	expectrating	1	high_cue	n/a	137.43	Strongest sensation of any kind	137.43	Strongest sensation of any kind	0.05	1.33	task-social/cue/runtype-pain/sch/h037.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.24	12.370000000000001	pain	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.24	22.0	27.0	30.61	success	n/a	n/a	n/a
31.51	2.15	pain	outcomerating	1	high_cue	med_stim	151.98	Strongest sensation of any kind	151.98	Strongest sensation of any kind	0.05	1.33	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
36.3	1.0	pain	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h007.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.2	1.29	pain	expectrating	2	high_cue	n/a	137.76	Strongest sensation of any kind	137.76	Strongest sensation of any kind	0.3	0.99	task-social/cue/runtype-pain/sch/h007.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.54	11.899999999999999	pain	stimulus	2	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	45.54	49.04	54.04	57.44	success	n/a	n/a	n/a
55.81	3.25	pain	outcomerating	2	high_cue	low_stim	105.55	Strongest sensation of any kind	105.55	Strongest sensation of any kind	0.3	0.99	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
68.39	1.0	pain	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l002.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.29	1.75	pain	expectrating	3	low_cue	n/a	118.21	Strongest sensation of any kind	118.21	Strongest sensation of any kind	0.35	1.4	task-social/cue/runtype-pain/scl/l002.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.57	12.360000000000014	pain	stimulus	3	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	78.57	82.33	87.33	90.94	success	n/a	n/a	n/a
96.4	1.68	pain	outcomerating	3	low_cue	med_stim	130.9	Strongest sensation of any kind	130.9	Strongest sensation of any kind	0.35	1.4	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
103.11	0.98	pain	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h047.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.01	1.9	pain	expectrating	4	high_cue	n/a	111.84	Strongest sensation of any kind	111.84	Strongest sensation of any kind	0.37	1.53	task-social/cue/runtype-pain/sch/h047.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
113.22	12.820000000000007	pain	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	113.22	117.23	122.23	126.04	success	n/a	n/a	n/a
127.0	3.15	pain	outcomerating	4	high_cue	high_stim	142.21	Strongest sensation of any kind	142.21	Strongest sensation of any kind	0.37	1.53	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
139.6	1.0	pain	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h050.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.7	2.7	pain	expectrating	5	high_cue	n/a	136.64	Strongest sensation of any kind	136.64	Strongest sensation of any kind	0.33	2.37	task-social/cue/runtype-pain/sch/h050.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.84	12.819999999999993	pain	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	157.84	161.85	166.85	170.66	success	n/a	n/a	n/a
169.71	3.13	pain	outcomerating	5	high_cue	high_stim	142.02	Strongest sensation of any kind	142.02	Strongest sensation of any kind	0.33	2.37	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
175.7	1.0	pain	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l042.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
178.5	1.98	pain	expectrating	6	low_cue	n/a	113.29	Strongest sensation of any kind	113.29	Strongest sensation of any kind	0.3	1.68	task-social/cue/runtype-pain/scl/l042.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
185.73	12.820000000000022	pain	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	185.73	189.74	194.74	198.55	success	n/a	n/a	n/a
196.01	2.41	pain	outcomerating	6	low_cue	high_stim	145.1	Strongest sensation of any kind	145.1	Strongest sensation of any kind	0.3	1.68	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
203.09	1.0	pain	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h021.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
205.41	1.52	pain	expectrating	7	high_cue	n/a	137.93	Strongest sensation of any kind	137.93	Strongest sensation of any kind	0.45	1.07	task-social/cue/runtype-pain/sch/h021.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
215.62	12.359999999999985	pain	stimulus	7	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	215.62	219.38	224.38	227.99	success	n/a	n/a	n/a
230.0	1.86	pain	outcomerating	7	high_cue	med_stim	119.03	Strongest sensation of any kind	119.03	Strongest sensation of any kind	0.45	1.07	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
235.81	0.98	pain	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h053.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
237.81	1.77	pain	expectrating	8	high_cue	n/a	127.01	Strongest sensation of any kind	127.01	Strongest sensation of any kind	0.55	1.22	task-social/cue/runtype-pain/sch/h053.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
243.32	11.909999999999997	pain	stimulus	8	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	243.32	246.82	251.82	255.22	success	n/a	n/a	n/a
