onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
12.053	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	1
23.024	2.789	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	1
41.547	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	2
52.535	3.658	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	2
71.058	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	3
82.046	4.262	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	3
100.569	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	4
111.557	3.275	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	4
130.08	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
141.068	4.853	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
159.592	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
170.579	2.721	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
189.103	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
200.09	3.307	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	7
218.614	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
229.601	3.642	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
248.125	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	9
259.112	2.419	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	9
277.636	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	10
288.623	2.377	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	10
307.147	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	11
318.134	2.449	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	11
336.674	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	12
347.662	3.511	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	12
366.185	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	13
377.173	3.691	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	13
395.697	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	14
406.684	2.889	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	14
425.208	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
436.195	5.747	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
454.719	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
465.706	1.483	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
484.23	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
495.217	2.088	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
513.741	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
524.728	4.009	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	18
543.252	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	19
554.239	2.376	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	19
572.763	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	20
583.75	2.287	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	20
