filename	acq_time	operator	randstr	task-social_runtype	task-fractional_runtype
fmap/sub-0039_ses-04_acq-mb8_dir-ap_run-01_epi.nii.gz	1919-03-17T16:25:10.850000	n/a	2ada2f3c	n/a	
fmap/sub-0039_ses-04_acq-mb8_dir-pa_run-01_epi.nii.gz	1919-03-17T16:25:34.357500	n/a	d8f8000a	n/a	
func/sub-0039_ses-04_task-fractional_acq-mb8_run-01_sbref.nii.gz	1919-03-17T16:28:21.772500	n/a	6c6778cb	n/a	memory
func/sub-0039_ses-04_task-fractional_acq-mb8_run-01_bold.nii.gz	1919-03-17T16:28:28.672500	n/a	a98c111e	n/a	memory
func/sub-0039_ses-04_task-fractional_acq-mb8_run-02_sbref.nii.gz	1919-03-17T16:39:05.357500	n/a	dedafc44	n/a	posner
func/sub-0039_ses-04_task-fractional_acq-mb8_run-02_bold.nii.gz	1919-03-17T16:39:12.257500	n/a	37e0d2f0	n/a	posner
func/sub-0039_ses-04_task-social_acq-mb8_run-01_sbref.nii.gz	1919-03-17T16:52:03.560000	n/a	fd25cf3f	cognitive	
func/sub-0039_ses-04_task-social_acq-mb8_run-01_bold.nii.gz	1919-03-17T16:52:10.460000	n/a	981b425d	cognitive	
func/sub-0039_ses-04_task-social_acq-mb8_run-02_sbref.nii.gz	1919-03-17T16:59:05.702500	n/a	05ccc734	pain	
func/sub-0039_ses-04_task-social_acq-mb8_run-02_bold.nii.gz	1919-03-17T16:59:12.602500	n/a	ae2aca92	pain	
func/sub-0039_ses-04_task-social_acq-mb8_run-03_sbref.nii.gz	1919-03-17T17:06:04.680000	n/a	30e88e3c	vicarious	
func/sub-0039_ses-04_task-social_acq-mb8_run-03_bold.nii.gz	1919-03-17T17:06:11.580000	n/a	b6db82e6	vicarious	
func/sub-0039_ses-04_task-social_acq-mb8_run-04_sbref.nii.gz	1919-03-17T17:13:20.122500	n/a	2e4c1639	vicarious	
func/sub-0039_ses-04_task-social_acq-mb8_run-04_bold.nii.gz	1919-03-17T17:13:27.022500	n/a	b2f1b866	vicarious	
func/sub-0039_ses-04_task-social_acq-mb8_run-05_sbref.nii.gz	1919-03-17T17:22:48.037500	n/a	ca7d5de5	pain	
func/sub-0039_ses-04_task-social_acq-mb8_run-05_bold.nii.gz	1919-03-17T17:22:54.937500	n/a	f7ae274a	pain	
func/sub-0039_ses-04_task-social_acq-mb8_run-06_sbref.nii.gz	1919-03-17T17:30:02.865000	n/a	d9d9e5dc	cognitive	
func/sub-0039_ses-04_task-social_acq-mb8_run-06_bold.nii.gz	1919-03-17T17:30:09.765000	n/a	70319266	cognitive	
fmap/sub-0039_ses-04_acq-mb8_dir-ap_run-02_epi.nii.gz	1919-03-17T17:39:33.415000	n/a	621d940d	n/a	
fmap/sub-0039_ses-04_acq-mb8_dir-pa_run-02_epi.nii.gz	1919-03-17T17:39:57.322500	n/a	3be31a2b	n/a	
func/sub-0039_ses-04_task-alignvideo_acq-mb8_run-01_sbref.nii.gz	1919-03-17T17:41:04.857500	n/a	f0344eec	n/a	
func/sub-0039_ses-04_task-alignvideo_acq-mb8_run-01_bold.nii.gz	1919-03-17T17:41:11.757500	n/a	0baafa3a	n/a	
func/sub-0039_ses-04_task-alignvideo_acq-mb8_run-02_sbref.nii.gz	1919-03-17T17:51:06.552500	n/a	857ed4e0	n/a	
func/sub-0039_ses-04_task-alignvideo_acq-mb8_run-02_bold.nii.gz	1919-03-17T17:51:13.452500	n/a	0f609348	n/a	
