onset	duration	run_type	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	pain_onset_ttl1	pain_onset_ttl2	pain_onset_ttl3	pain_onset_ttl4	pain_stimulus_delivery_success	cognitive_correct_response	cognitive_participant_response	cognitive_response_accuracy
4.99	1.0	pain	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h045.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.2	1.25	pain	expectrating	1	high_cue	n/a	163.23	Strongest sensation of any kind	163.23	Strongest sensation of any kind	0.23	1.02	task-social/cue/runtype-pain/sch/h045.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.24	11.900000000000002	pain	stimulus	1	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17.24	20.74	25.74	29.14	success	n/a	n/a	n/a
27.39	1.84	pain	outcomerating	1	high_cue	low_stim	165.13	Strongest sensation of any kind	165.13	Strongest sensation of any kind	0.23	1.02	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
39.58	1.0	pain	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h035.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42.8	0.98	pain	expectrating	2	high_cue	n/a	157.08	Strongest sensation of any kind	157.08	Strongest sensation of any kind	0.33	0.65	task-social/cue/runtype-pain/sch/h035.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.51	11.910000000000004	pain	stimulus	2	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	48.51	52.01	57.01	60.41	success	n/a	n/a	n/a
61.79	1.14	pain	outcomerating	2	high_cue	low_stim	128.12	Strongest sensation of any kind	128.12	Strongest sensation of any kind	0.33	0.65	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
72.49	1.0	pain	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h052.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.49	1.19	pain	expectrating	3	high_cue	n/a	142.35	Strongest sensation of any kind	142.35	Strongest sensation of any kind	0.37	0.82	task-social/cue/runtype-pain/sch/h052.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
