filename	acq_time	operator	randstr	task-social_runtype
fmap/sub-0053_ses-03_acq-mb8_dir-ap_run-01_epi.nii.gz	1919-04-09T16:34:35.762500		2928bdb1	n/a
fmap/sub-0053_ses-03_acq-mb8_dir-pa_run-01_epi.nii.gz	1919-04-09T16:34:59.332500		f632920b	n/a
func/sub-0053_ses-03_task-social_acq-mb8_run-01_sbref.nii.gz	1919-04-09T16:38:59.027500		b057873e	pain
func/sub-0053_ses-03_task-social_acq-mb8_run-01_bold.nii.gz	1919-04-09T16:39:05.927500		3a673ead	pain
func/sub-0053_ses-03_task-social_acq-mb8_run-02_sbref.nii.gz	1919-04-09T16:46:10.385000		e08e4dfe	vicarious
func/sub-0053_ses-03_task-social_acq-mb8_run-02_bold.nii.gz	1919-04-09T16:46:17.285000		527c9e5a	vicarious
func/sub-0053_ses-03_task-social_acq-mb8_run-03_sbref.nii.gz	1919-04-09T16:53:06.060000		e622f14a	cognitive
func/sub-0053_ses-03_task-social_acq-mb8_run-03_bold.nii.gz	1919-04-09T16:53:12.960000		d1f27b4b	cognitive
func/sub-0053_ses-03_task-social_acq-mb8_run-04_sbref.nii.gz	1919-04-09T17:00:07.632500		c31dd18e	cognitive
func/sub-0053_ses-03_task-social_acq-mb8_run-04_bold.nii.gz	1919-04-09T17:00:14.532500		4f7b6a01	cognitive
func/sub-0053_ses-03_task-social_acq-mb8_run-05_sbref.nii.gz	1919-04-09T17:07:06.485000		d321e1a5	vicarious
func/sub-0053_ses-03_task-social_acq-mb8_run-05_bold.nii.gz	1919-04-09T17:07:13.385000		2832acd1	vicarious
func/sub-0053_ses-03_task-social_acq-mb8_run-06_sbref.nii.gz	1919-04-09T17:15:33.410000		65d3b300	pain
func/sub-0053_ses-03_task-social_acq-mb8_run-06_bold.nii.gz	1919-04-09T17:15:40.310000		48cfff9d	pain
fmap/sub-0053_ses-03_acq-mb8_dir-ap_run-02_epi.nii.gz	1919-04-09T17:23:09.395000		d9a2bbd2	n/a
fmap/sub-0053_ses-03_acq-mb8_dir-pa_run-02_epi.nii.gz	1919-04-09T17:23:33.342500		86ce25e8	n/a
func/sub-0053_ses-03_task-shortvideo_acq-mb8_run-01_sbref.nii.gz	1919-04-09T17:24:55.747500		262c9414	n/a
func/sub-0053_ses-03_task-shortvideo_acq-mb8_run-01_bold.nii.gz	1919-04-09T17:25:02.647500		8e7e1a39	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-01_sbref.nii.gz	1919-04-09T17:38:17.855000		875708f4	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-01_bold.nii.gz	1919-04-09T17:38:24.755000		f7a86a65	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-02_sbref.nii.gz	1919-04-09T17:47:27.627500		884d4764	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-02_bold.nii.gz	1919-04-09T17:47:34.527500		033b0816	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-03_sbref.nii.gz	1919-04-09T17:57:59.055000		65ed8a45	n/a
func/sub-0053_ses-03_task-alignvideo_acq-mb8_run-03_bold.nii.gz	1919-04-09T17:58:05.955000		cfe16ed1	n/a
