onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.822	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/4b_story.txt	1
25.793	4.289	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/4b_question.txt	1
44.333	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/4p_story.txt	2
55.304	4.682	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/4p_question.txt	2
73.828	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/1p_story.txt	3
84.815	4.593	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/1p_question.txt	3
103.356	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/1b_story.txt	4
114.326	2.735	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/1b_question.txt	4
132.85	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/6p_story.txt	5
143.838	4.131	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/6p_question.txt	5
162.361	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/6b_story.txt	6
173.365	4.494	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/6b_question.txt	6
191.889	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/3p_story.txt	7
202.877	3.512	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/3p_question.txt	7
221.4	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/3b_story.txt	8
232.388	4.691	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/3b_question.txt	8
250.911	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/8b_story.txt	9
261.899	3.563	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/8b_question.txt	9
280.423	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/8p_story.txt	10
291.41	2.856	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/8p_question.txt	10
309.934	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/7p_story.txt	11
320.921	1.878	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/7p_question.txt	11
339.445	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/7b_story.txt	12
350.432	n/a	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/7b_question.txt	12
368.956	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/10p_story.txt	13
379.944	3.801	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/10p_question.txt	13
398.467	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/10b_story.txt	14
409.455	3.312	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/10b_question.txt	14
427.978	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/9b_story.txt	15
438.966	3.197	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/9b_question.txt	15
457.506	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/9p_story.txt	16
468.477	4.204	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/9p_question.txt	16
487.001	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/5p_story.txt	17
497.988	2.157	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/5p_question.txt	17
516.512	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/5b_story.txt	18
527.499	3.311	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/5b_question.txt	18
546.04	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/2p_story.txt	19
557.01	4.213	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/2p_question.txt	19
575.534	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/2b_story.txt	20
586.522	3.596	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/2b_question.txt	20
